,Set Voltage (V),Applied vol. across circuit (V),Vol. across LED (V),Current (A)
0,0.0,0.01,0.011,0.0
1,0.098,0.103,0.105,-0.0004
2,0.196,0.195,0.198,-0.0004
3,0.294,0.289,0.288,-0.0002
4,0.392,0.381,0.382,0.0
5,0.49,0.479,0.468,0.0
6,0.588,0.569,0.578,-0.003
7,0.686,0.678,0.675,-0.0014
8,0.784,0.825,0.83,-0.0452
9,0.882,0.887,0.943,-0.0018
10,1.0,1.056,1.011,-0.0008
11,1.098,1.146,1.146,-0.0012
12,1.196,1.185,1.241,-0.002
13,1.294,1.311,1.324,-0.0026
14,1.392,1.435,1.435,-0.0026
15,1.49,1.527,1.508,-0.0007999999999999
16,1.588,1.574,1.621,-0.0018
17,1.686,1.695,1.705,-0.0026
18,1.784,1.785,1.795,-0.0014
19,1.882,1.911,1.864,-0.0008
20,2.0,2.024,2.024,-0.001
21,2.098,2.099,2.097,-0.002
22,2.196,2.217,2.215,-0.0012
23,2.294,2.312,2.312,-0.001
24,2.392,2.409,2.394,0.0248
25,2.49,2.497,2.465,0.213
26,2.588,2.54,2.505,0.5928
27,2.686,2.647,2.537,1.0612
28,2.784,2.676,2.556,1.5430000000000004
29,2.882,2.748,2.571,2.0294
30,3.0,2.853,2.586,2.6284000000000005
31,3.098,2.923,2.599,3.2074000000000003
32,3.196,2.986,2.611,3.724
33,3.294,3.046,2.621,4.2868
34,3.392,3.12,2.631,4.837000000000001
35,3.49,3.182,2.642,5.3732
36,3.588,3.241,2.649,5.907
37,3.686,3.306,2.659,6.4468000000000005
38,3.784,3.366,2.667,6.995
39,3.882,3.431,2.675,7.561600000000001
40,4.0,3.509,2.683,8.2016
41,4.098,3.572,2.693,8.7678
42,4.196,3.628,2.698,9.2938
43,4.294,3.695,2.707,9.843
44,4.392,3.753,2.714,10.4002
45,4.49,3.818,2.722,10.954
46,4.588,3.882,2.728,11.5144
47,4.686,3.943,2.736,12.061
48,4.784,4.006,2.742,12.6214
49,4.882,4.068,2.75,13.1882
50,5.0,4.144,2.757,13.864
